x y
-10.00 -0.15
-9.59 0.56
-9.18 -0.33
-8.78 0.26
-8.37 -0.26
-7.96 0.06
-7.55 0.09
-7.14 -0.32
-6.73 0.11
-6.33 -1.32
-5.92 -0.47
-5.51 0.05
-5.10 0.23
-4.69 0.34
-4.29 -0.70
-3.88 0.09
-3.47 0.57
-3.06 0.71
-2.65 1.21
-2.24 0.90
-1.84 1.13
-1.43 1.84
-1.02 1.03
-0.61 1.71
-0.20 1.21
0.20 2.26
0.61 2.63
1.02 2.50
1.43 4.09
1.84 3.05
2.24 2.90
2.65 2.05
3.06 2.67
3.47 2.03
3.88 2.55
4.29 2.16
4.69 1.84
5.10 2.61
5.51 0.66
5.92 0.87
6.33 0.86
6.73 0.56
7.14 0.44
7.55 0.33
7.96 1.00
8.37 1.11
8.78 0.21
9.18 -0.03
9.59 0.17
10.00 -0.32
